,accession,hit_id,hit_def,expect,score,positives,gaps
67,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1375.0,316,3
460,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1375.0,316,3
156,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1375.0,316,3
122,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1373.0,316,3
487,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1373.0,316,3
2,3952,gnl|BL_ORD_ID|3952,"YLR289W GUF1 SGDID:S000004280, Chr XII from 715089-717026, Genome Release 64-3-1, Verified ORF, ""Mitochondrial matrix GTPase; associates with mitochondrial ribosomes; important for translation under temperature and nutrient stress; may have a role in translational fidelity; similar to bacterial LepA elongation factor""",1.25158e-180,1357.0,404,21
377,932,gnl|BL_ORD_ID|932,"YDR021W FAL1 SGDID:S000002428, Chr IV from 486804-488003, Genome Release 64-3-1, Verified ORF, ""Nucleolar protein required for maturation of 18S rRNA; member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases; 18S rRNA biogenesis defect of the null mutant is functionally complemented by human EIF4A3""",0.0,1351.0,320,3
1081,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",1.77769e-170,1302.0,322,11
822,2992,gnl|BL_ORD_ID|2992,"YJL138C TIF2 SGDID:S000003674, Chr X from 154691-153504, Genome Release 64-3-1, reverse complement, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
789,3551,gnl|BL_ORD_ID|3551,"YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-3-1, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
790,2992,gnl|BL_ORD_ID|2992,"YJL138C TIF2 SGDID:S000003674, Chr X from 154691-153504, Genome Release 64-3-1, reverse complement, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
758,2992,gnl|BL_ORD_ID|2992,"YJL138C TIF2 SGDID:S000003674, Chr X from 154691-153504, Genome Release 64-3-1, reverse complement, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
757,3551,gnl|BL_ORD_ID|3551,"YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-3-1, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
1198,3551,gnl|BL_ORD_ID|3551,"YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-3-1, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
1199,2992,gnl|BL_ORD_ID|2992,"YJL138C TIF2 SGDID:S000003674, Chr X from 154691-153504, Genome Release 64-3-1, reverse complement, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
821,3551,gnl|BL_ORD_ID|3551,"YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-3-1, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",1.4045e-179,1296.0,319,1
379,2992,gnl|BL_ORD_ID|2992,"YJL138C TIF2 SGDID:S000003674, Chr X from 154691-153504, Genome Release 64-3-1, reverse complement, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",2.78628e-175,1267.0,320,2
378,3551,gnl|BL_ORD_ID|3551,"YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-3-1, Verified ORF, ""Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress""",2.78628e-175,1267.0,320,2
541,3098,gnl|BL_ORD_ID|3098,"YJL033W HCA4 SGDID:S000003570, Chr X from 383837-386149, Genome Release 64-3-1, Verified ORF, ""DEAD box RNA helicase; component of the SSU; interacts with Bfr2p and Enp2p; high-copy number suppression of a U14 snoRNA processing mutant suggests an involvement in 18S rRNA synthesis""",6.35107e-160,1242.0,380,82
823,932,gnl|BL_ORD_ID|932,"YDR021W FAL1 SGDID:S000002428, Chr IV from 486804-488003, Genome Release 64-3-1, Verified ORF, ""Nucleolar protein required for maturation of 18S rRNA; member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases; 18S rRNA biogenesis defect of the null mutant is functionally complemented by human EIF4A3""",5.62449e-170,1233.0,294,3
791,932,gnl|BL_ORD_ID|932,"YDR021W FAL1 SGDID:S000002428, Chr IV from 486804-488003, Genome Release 64-3-1, Verified ORF, ""Nucleolar protein required for maturation of 18S rRNA; member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases; 18S rRNA biogenesis defect of the null mutant is functionally complemented by human EIF4A3""",5.62449e-170,1233.0,294,3
1200,932,gnl|BL_ORD_ID|932,"YDR021W FAL1 SGDID:S000002428, Chr IV from 486804-488003, Genome Release 64-3-1, Verified ORF, ""Nucleolar protein required for maturation of 18S rRNA; member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases; 18S rRNA biogenesis defect of the null mutant is functionally complemented by human EIF4A3""",5.62449e-170,1233.0,294,3
759,932,gnl|BL_ORD_ID|932,"YDR021W FAL1 SGDID:S000002428, Chr IV from 486804-488003, Genome Release 64-3-1, Verified ORF, ""Nucleolar protein required for maturation of 18S rRNA; member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases; 18S rRNA biogenesis defect of the null mutant is functionally complemented by human EIF4A3""",5.62449e-170,1233.0,294,3
96,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",1.97873e-164,1218.0,274,2
606,2532,gnl|BL_ORD_ID|2532,"YHR065C RRP3 SGDID:S000001107, Chr VIII from 229037-227532, Genome Release 64-3-1, reverse complement, Verified ORF, ""Protein involved in rRNA processing; required for maturation of the 35S primary transcript of pre-rRNA and for cleavage leading to mature 18S rRNA; homologous to eIF-4a, which is a DEAD box RNA-dependent ATPase with helicase activity""",5.89434e-155,1155.0,316,8
1165,5899,gnl|BL_ORD_ID|5899,"YPR088C SRP54 SGDID:S000006292, Chr XVI from 713028-711403, Genome Release 64-3-1, reverse complement, Verified ORF, ""Signal recognition particle (SRP) subunit (homolog of mammalian SRP54); contains the signal sequence-binding activity of SRP, interacts with the SRP RNA, and mediates binding of SRP to signal receptor; contains GTPase domain""",5.24889e-150,1126.0,309,18
664,5356,gnl|BL_ORD_ID|5356,"YOR204W DED1 SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-3-1, Verified ORF, ""ATP-dependent DEAD-box RNA helicase with strand-annealing activity; promotes eIF4F-dependent 48S translation preinitiation complex (PIC) assembly, stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with Dbp1p in PIC attachment and scanning; ATPase activity stimulated by mRNA cap-associated factor binding; directly binds eIF4G; role in spliceosomal complex disassembly; mutation in human homolog DBY associated with male infertility; human homolog DDX3X complements the null""",4.82632e-143,1100.0,302,24
186,883,gnl|BL_ORD_ID|883,"YDL031W DBP10 SGDID:S000002189, Chr IV from 394217-397204, Genome Release 64-3-1, Verified ORF, ""Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis""",1.51739e-134,1087.0,398,129
938,3655,gnl|BL_ORD_ID|3655,"YLL008W DRS1 SGDID:S000003931, Chr XII from 131729-133987, Genome Release 64-3-1, Verified ORF, ""Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles""",9.12925e-136,1074.0,333,29
665,5702,gnl|BL_ORD_ID|5702,"YPL119C DBP1 SGDID:S000006040, Chr XVI from 326264-324411, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; accelerates eIF4F-dependent assembly of 48S translation preinitiation complex (PIC), stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with DEAD-box RNA helicase and paralog Ded1p, stimulating PIC attachment and highly processive scanning by the 40S ribosomal subunit; protein abundance increases in response to DNA replication stress""",1.11752e-136,1058.0,288,21
998,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",7.56452e-133,1030.0,297,21
934,5833,gnl|BL_ORD_ID|5833,"YPR016C TIF6 SGDID:S000006220, Chr XVI from 593069-592332, Genome Release 64-3-1, reverse complement, Verified ORF, ""Constituent of 66S pre-ribosomal particles; has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits""",5.22662e-139,996.0,212,0
996,5606,gnl|BL_ORD_ID|5606,"YPL217C BMS1 SGDID:S000006138, Chr XVI from 143171-139620, Genome Release 64-3-1, reverse complement, Verified ORF, ""GTPase required for ribosomal subunit synthesis and rRNA processing; required for synthesis of 40S ribosomal subunits and for processing the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, which stimulates its GTPase and U3 snoRNA binding activities; has similarity to Tsr1p""",1.0933e-114,983.0,323,33
39,5206,gnl|BL_ORD_ID|5206,"YOR046C DBP5 SGDID:S000005572, Chr XV from 415907-414459, Genome Release 64-3-1, reverse complement, Verified ORF, ""Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus, remodeling messenger ribonucleoprotein particles (mRNPs), with ATPase activity stimulated by Gle1p, IP6 and Nup159p; involved in translation termination along with Sup45p (eRF1); role in the cellular response to heat stress""",9.11166e-124,940.0,266,15
347,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",6.30786e-118,937.0,280,13
569,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",2.09679e-112,925.0,268,15
635,1154,gnl|BL_ORD_ID|1154,"YDR243C PRP28 SGDID:S000002651, Chr IV from 950284-948518, Genome Release 64-3-1, reverse complement, Verified ORF, ""Pre-mRNA splicing factor; RNA binding protein involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family""",3.85196e-114,917.0,302,76
570,444,gnl|BL_ORD_ID|444,"YBR237W PRP5 SGDID:S000000441, Chr II from 691969-694518, Genome Release 64-3-1, Verified ORF, ""RNA helicase in the DEAD-box family; necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA""",5.29956e-107,911.0,359,80
515,5702,gnl|BL_ORD_ID|5702,"YPL119C DBP1 SGDID:S000006040, Chr XVI from 326264-324411, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; accelerates eIF4F-dependent assembly of 48S translation preinitiation complex (PIC), stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with DEAD-box RNA helicase and paralog Ded1p, stimulating PIC attachment and highly processive scanning by the 40S ribosomal subunit; protein abundance increases in response to DNA replication stress""",6.494e-113,903.0,271,47
488,5702,gnl|BL_ORD_ID|5702,"YPL119C DBP1 SGDID:S000006040, Chr XVI from 326264-324411, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; accelerates eIF4F-dependent assembly of 48S translation preinitiation complex (PIC), stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with DEAD-box RNA helicase and paralog Ded1p, stimulating PIC attachment and highly processive scanning by the 40S ribosomal subunit; protein abundance increases in response to DNA replication stress""",2.51618e-114,901.0,271,47
461,5702,gnl|BL_ORD_ID|5702,"YPL119C DBP1 SGDID:S000006040, Chr XVI from 326264-324411, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; accelerates eIF4F-dependent assembly of 48S translation preinitiation complex (PIC), stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with DEAD-box RNA helicase and paralog Ded1p, stimulating PIC attachment and highly processive scanning by the 40S ribosomal subunit; protein abundance increases in response to DNA replication stress""",2.58539e-114,901.0,271,47
68,5702,gnl|BL_ORD_ID|5702,"YPL119C DBP1 SGDID:S000006040, Chr XVI from 326264-324411, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; accelerates eIF4F-dependent assembly of 48S translation preinitiation complex (PIC), stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with DEAD-box RNA helicase and paralog Ded1p, stimulating PIC attachment and highly processive scanning by the 40S ribosomal subunit; protein abundance increases in response to DNA replication stress""",2.58539e-114,901.0,271,47
